name,type,occurrence,vanillaWeight,weight
modern_BB_funnel_1_littorio,funnel,0,460.8,345.6
modern_BB_funnel_1_littorio_caversion2,funnel,0,496,372
modern_BB_funnel_1_littorio_caversion,funnel,0,460.8,345.6
modern_BB_funnel_1_littorio_medium,funnel,0,416,312
modern_BB_funnel_1_littorio_small,funnel,0,384,288
monte_funnel_6_bigger,funnel,0,425,318.75
monte_funnel_6_big,funnel,0,400,300
monte_funnel_6,funnel,0,385,288.75
monte_funnel_5_big,funnel,0,365,273.75
monte_funnel_5,funnel,0,340,255
monte_funnel_4_big,funnel,0,335,251.25
monte_funnel_4,funnel,0,305,228.75
monte_funnel_3_big,funnel,0,295,221.25
monte_funnel_3,funnel,0,260,195
monte_funnel_2_big,funnel,0,255,191.25
monte_funnel_1_big,funnel,0,230,172.5
monte_funnel_2,funnel,0,225,168.75
monte_funnel_1,funnel,0,185,138.75
monte_funnel_1_small,funnel,0,165,123.75
modern_BB_funnel_8_richelieu,funnel,0,1184,888
modern_BB_funnel_7_richelieu,funnel,0,1120,840
modern_BB_funnel_6_richelieu,funnel,0,1056,792
modern_BB_funnel_5_richelieu,funnel,0,992,744
modern_BB_funnel_4_richelieu,funnel,0,921.6,691.2
modern_BB_funnel_3_richelieu,funnel,0,844.8,633.6
modern_BB_funnel_2_richelieu,funnel,0,768,576
modern_BB_funnel_2_richelieu_small,funnel,0,723.2,542.4
modern_BB_funnel_8_richelieu_mod,funnel,0,1180,885
modern_BB_funnel_7_richelieu_mod,funnel,0,1100,825
modern_BB_funnel_6_richelieu_mod,funnel,0,1050,787.5
modern_BB_funnel_5_richelieu_mod,funnel,0,975,731.25
modern_BB_funnel_4_richelieu_mod,funnel,0,900,675
modern_BB_funnel_3_richelieu_mod,funnel,0,820,615
modern_BB_funnel_2_richelieu_mod,funnel,0,750,562.5
modern_BB_funnel_2_richelieu_small_mod,funnel,0,700,525
modern_BB_funnel_1_richelieu,funnel,0,652.8,489.6
modern_BB_funnel_1_richelieu_small,funnel,0,588.8,441.6
modern_BB_funnel_7_Iowa,funnel,0,992,744
modern_BB_funnel_6_Iowa,funnel,0,928,696
modern_BB_funnel_5_Iowa,funnel,0,876.8,657.6
modern_BB_funnel_4_Iowa_enhanced,funnel,0,832,624
modern_BB_funnel_4_Iowa,funnel,0,787.2,590.4
modern_BB_funnel_3_Iowa_enhanced,funnel,0,736,552
modern_BB_funnel_3_Iowa,funnel,0,672,504
modern_BB_funnel_2_Iowa_bigvar,funnel,0,608,456
modern_BB_funnel_2_Iowa,funnel,0,582.4,436.8
modern_BB_funnel_1_Iowa_big2,funnel,0,572.8,429.6
modern_BB_funnel_1_Iowa_big,funnel,0,560,420
modern_BB_funnel_1_Iowa,funnel,0,528,396
modern_BB_funnel_1_Iowa_big_caversion,funnel,0,560,420
modern_BB_funnel_3_newyork,funnel,0,850,637.5
modern_BB_funnel_2_newyork,funnel,0,790,592.5
modern_BB_funnel_1_newyork_clone,funnel,0,750,562.5
modern_BB_funnel_1_newyork,funnel,0,720,540
modern_BB_funnel_long_Iowa_3,funnel,0,850,637.5
modern_BB_funnel_long_Iowa_2,funnel,0,790,592.5
modern_BB_funnel_long_Iowa_1,funnel,0,745,558.75
modern_BB_funnel_1_Iowa_caversion,funnel,0,528,396
fuso_funnel_complex_4,funnel,0,992,744
fuso_funnel_complex_3,funnel,0,874,655.5
fuso_funnel_varthick_1,funnel,0,850,637.5
kgeorge_funnel_3,funnel,0,816,612
fuso_funnel_complex_2,funnel,0,800,600
fuso_funnel_complex_1,funnel,0,736,552
fuso_funnel_wide_1,funnel,0,400,300
fuso_funnel_standard_1,funnel,0,336,252
kgeorge_funnel_2_biggest3,funnel,0,960,720
kgeorge_funnel_2_biggest2,funnel,0,870,652.5
kgeorge_funnel_2_biggest1,funnel,0,800,600
Nelson_funnelcomplex_3,funnel,0,935,701.25
Nelson_funnelcomplex_2,funnel,0,885,663.75
Nelson_funnelcomplex_1,funnel,0,845,633.75
kgeorge_funnel_2_biggervar,funnel,0,787.2,590.4
kgeorge_funnel_2,funnel,0,736,552
Hood_funnel_3_bigger,funnel,0,684.8,513.6
Hood_funnel_3,funnel,0,652.8,489.6
modern_BB_funnel_italy_2,funnel,0,633.6,475.2
Hood_funnel_2,funnel,0,614.4,460.8
kgeorge_funnel_1_big,funnel,0,598.4,448.8
kgeorge_funnel_1,funnel,0,579.2,434.4
dreadnought_funnel_8,funnel,0,547.84,410.88
dreadnought_funnel_8_bc,funnel,0,531.2,398.4
Nelson_funnel_3_big4,funnel,0,680,510
Nelson_funnel_3_big3,funnel,0,650,487.5
Nelson_funnel_3_big2,funnel,0,625,468.75
Nelson_funnel_3,funnel,0,605,453.75
Nelson_funnel_2_big4,funnel,0,600,450
Nelson_funnel_2_big3,funnel,0,575,431.25
Nelson_funnel_2_big2,funnel,0,550,412.5
Nelson_funnel_2,funnel,0,525,393.75
Nelson_funnel_1_big4,funnel,0,585,438.75
Nelson_funnel_1_big3,funnel,0,560,420
Nelson_funnel_1_big2,funnel,0,535,401.25
Nelson_funnel_1,funnel,0,500,375
Hood_funnel_1,funnel,0,512,384
Soyuz_funnel_3_vbig,funnel,0,534.4,400.8
Soyuz_funnel_3_big,funnel,0,508.8,381.6
Soyuz_funnel_2_caversion_big,funnel,0,508.8,381.6
Soyuz_funnel_1_big,funnel,0,457.6,343.2
Soyuz_funnel_2,funnel,0,432,324
Soyuz_funnel_2_caversion,funnel,0,432,324
Soyuz_funnel_1,funnel,0,368,276
Soyuz_funnel_0,funnel,0,320,240
Soyuz_funnel_0_caversion,funnel,0,320,240
dreadnought_funnel_7_normal,funnel,0,499.2,374.4
dreadnought_funnel_8_Fuso,funnel,0,499.2,374.4
dreadnought_funnel_7,funnel,0,480,360
dreadnought_funnel_6,funnel,0,470.4,352.8
dreadnought_funnel_5,funnel,0,448,336
battlecruiser_funnel_3,funnel,0,428.8,321.6
vondertann_funnel_1_bigger4,funnel,0,864,648
vondertann_funnel_1_bigger3,funnel,0,800,600
vondertann_funnel_crane_3,funnel,0,704,528
vondertann_funnel_2_big3,funnel,0,576,432
vondertann_funnel_crane_2,funnel,0,563.2,422.4
vondertann_funnel_crane_1,funnel,0,512,384
vondertann_funnel_2_big2,funnel,0,524.8,393.6
vondertann_funnel_1_bigger2,funnel,0,492.8,369.6
vondertann_funnel_2_big,funnel,0,486.4,364.8
vondertann_funnel_2,funnel,0,448,336
vondertann_funnel_tall_3,funnel,0,550,412.5
vondertann_funnel_tall_2,funnel,0,490,367.5
vondertann_funnel_tall_1,funnel,0,440,330
vondertann_funnel_1_bigger,funnel,0,441.6,331.2
vondertann_funnel_1_big,funnel,0,416,312
vondertann_funnel_1,funnel,0,384,288
vondertann_funnel_small_3,funnel,0,354,265.5
vondertann_funnel_small_2,funnel,0,314,235.5
vondertann_funnel_small_1,funnel,0,275,206.25
dreadnought_funnel_4_big,funnel,0,422.4,316.8
dreadnought_funnel_4,funnel,0,403.2,302.4
battlecruiser_funnel_2_big,funnel,0,384,288
battlecruiser_funnel_2,funnel,0,364.8,273.6
dreadnought_funnel_2_vbig_var_new_enhanced,funnel,0,410,307.5
dreadnought_funnel_2_vbig_var_new_enhanced_var,funnel,0,360,270
dreadnought_funnel_2_vbig_var_new,funnel,0,395,296.25
dreadnought_funnel_2_vbig_enhanced,funnel,0,390,292.5
dreadnought_funnel_2_vbig_enhanced_var,funnel,0,340,255
dreadnought_funnel_2_vbig,funnel,0,380,285
dreadnought_funnel_2_big,funnel,0,332.8,249.6
dreadnought_funnel_2,funnel,0,316.8,237.6
dreadnought_funnel_3_normal_enhanced,funnel,0,335,251.25
dreadnought_funnel_3_normal_enhanced_var,funnel,0,285,213.75
dreadnought_funnel_3_normal,funnel,0,307.2,230.4
dreadnought_funnel_3_big_enhanced,funnel,0,300,225
dreadnought_funnel_3_big_enhanced_var,funnel,0,250,187.5
dreadnought_funnel_3_big,funnel,0,297.6,223.2
dreadnought_funnel_3,funnel,0,281.6,211.2
dreadnought_funnel_1_big_var,funnel,0,262.4,196.8
dreadnought_funnel_1_var,funnel,0,243.2,182.4
battlecruiser_funnel_1_big_var,funnel,0,224,168
battlecruiser_funnel_1_var,funnel,0,192,144
austria_funnel_3_var,funnel,0,275.2,206.4
austria_funnel_2_var,funnel,0,243.2,182.4
austria_funnel_1_var,funnel,0,211.2,158.4
dreadnought_funnel_1_big,funnel,0,243.2,182.4
dreadnought_funnel_1,funnel,0,224,168
dreadnought_funnel_triple,funnel,0,464,348
dreadnought_funnel_cressy_mod4,funnel,0,201.6,151.2
dreadnought_funnel_cressy_mod3,funnel,0,182.4,136.8
dreadnought_funnel_cressy_mod2,funnel,0,163.2,122.4
dreadnought_funnel_cressy_mod1,funnel,0,144,108
standard_round_funnel_4,funnel,0,140.8,105.6
standard_round_funnel_3,funnel,0,128,96
standard_round_funnel_2,funnel,0,140.8,105.6
standard_round_funnel_1,funnel,0,128,96
battlecruiser_funnel_1_big,funnel,0,211.2,158.4
battlecruiser_funnel_1,funnel,0,179.2,134.4
dreadnought_funnel_2_usa,funnel,0,268.8,201.6
dreadnought_funnel_1_usa,funnel,0,224,168
dreadnought_funnel__usa_arizona_9,funnel,0,745,558.75
dreadnought_funnel__usa_arizona_8,funnel,0,685,513.75
dreadnought_funnel__usa_arizona_7,funnel,0,645,483.75
dreadnought_funnel__usa_arizona_6,funnel,0,635,476.25
dreadnought_funnel__usa_arizona_5,funnel,0,595,446.25
dreadnought_funnel__usa_arizona_4,funnel,0,565,423.75
dreadnought_funnel__usa_arizona_3,funnel,0,545,408.75
dreadnought_funnel__usa_arizona_2,funnel,0,515,386.25
dreadnought_funnel__usa_arizona_1,funnel,0,475,356.25
dreadnought_funnel_3_usa_newyork_small_thick,funnel,0,445,333.75
dreadnought_funnel_2_usa_newyork_medium_thick,funnel,0,375,281.25
dreadnought_funnel_3_usa_newyork_small,funnel,0,300,225
dreadnought_funnel_3_usa_newyork_medium,funnel,0,265,198.75
dreadnought_funnel_2_usa_newyork_medium,funnel,0,200,150
dreadnought_funnel_2_usa_newyork_medium_clone,funnel,0,200,150
dreadnought_funnel_2_usa_newyork_small_clone,funnel,0,185,138.75
dreadnought_funnel_2_usa_newyork_small,funnel,0,185,138.75
dreadnought_funnel_1_usa_newyork_medium,funnel,0,175,131.25
dreadnought_funnel_1_usa_newyork_small,funnel,0,165,123.75
dreadnought_funnel_1_usa_texas_big,funnel,0,280,210
dreadnought_funnel_1_usa_texas_medium,funnel,0,250,187.5
dreadnought_funnel_1_usa_texas_small,funnel,0,215,161.25
dreadnought_funnel_3_usa_newyork_small_thick_mod5,funnel,0,540,405
dreadnought_funnel_3_usa_newyork_small_thick_mod4,funnel,0,470,352.5
dreadnought_funnel_3_usa_newyork_small_thick_mod3,funnel,0,390,292.5
dreadnought_funnel_3_usa_newyork_small_thick_mod2,funnel,0,345,258.75
dreadnought_funnel_3_usa_newyork_small_thick_mod,funnel,0,295,221.25
dreadnought_funnel_2_usa_newyork_medium_thick_mod5,funnel,0,415,311.25
dreadnought_funnel_2_usa_newyork_medium_thick_mod4,funnel,0,375,281.25
dreadnought_funnel_2_usa_newyork_medium_thick_mod3,funnel,0,280,210
dreadnought_funnel_2_usa_newyork_medium_thick_mod2,funnel,0,230,172.5
dreadnought_funnel_2_usa_newyork_medium_thick_mod,funnel,0,200,150
heavy_ca_funnel_9,funnel,0,512,384
heavy_ca_funnel_8,funnel,0,454.4,340.8
heavy_ca_funnel_10,funnel,0,326.4,244.8
heavy_ca_funnel_9_small,funnel,0,300.8,225.6
heavy_ca_funnel_8_small2,funnel,0,278.4,208.8
heavy_ca_funnel_8_small,funnel,0,249.6,187.2
heavy_ca_funnel_8_smaller,funnel,0,220.8,165.6
modern_BB_funnel_italy_2_medium,funnel,0,531.2,398.4
modern_BB_funnel_italy_1,funnel,0,492.8,369.6
heavy_ca_funnel_7_big,funnel,0,448,336
heavy_ca_funnel_7,funnel,0,416,312
heavy_ca_funnel_7_small,funnel,0,380.8,285.6
heavy_ca_funnel_6_big,funnel,0,464,348
heavy_ca_funnel_6,funnel,0,400,300
heavy_ca_funnel_5_bigger,funnel,0,384,288
heavy_ca_funnel_5,funnel,0,368,276
heavy_ca_funnel_4,funnel,0,336,252
heavy_ca_funnel_3_big2,funnel,0,350,262.5
heavy_ca_funnel_3_big,funnel,0,329.6,247.2
heavy_ca_funnel_3_variantbig,funnel,0,305,228.75
heavy_ca_funnel_3,funnel,0,294.4,220.8
heavy_ca_funnel_3_variantsmall,funnel,0,275,206.25
heavy_ca_funnel_2,funnel,0,281.6,211.2
heavy_ca_funnel_3_small,funnel,0,230,172.5
heavy_ca_funnel_3_vsmall,funnel,0,186,139.5
heavy_ca_funnel_3_xsmall,funnel,0,142,106.5
atlanta_cl_funnel_Small_5,funnel,0,400,300
atlanta_cl_funnel_Small_4,funnel,0,310,232.5
atlanta_cl_funnel_Small_3,funnel,0,275,206.25
atlanta_cl_funnel_Enhanced_4,funnel,0,270,202.5
atlanta_cl_funnel_Enhanced_3,funnel,0,265,198.75
atlanta_cl_funnel_Enhanced_2,funnel,0,215,161.25
atlanta_cl_funnel_Enhanced_1,funnel,0,175,131.25
atlanta_cl_funnel_Enhanced_1_small,funnel,0,155,116.25
atlanta_cl_funnel_Small_2,funnel,0,145,108.75
atlanta_cl_funnel_Small_1,funnel,0,125,93.75
dido_funnel_1_angled_boats_vbig2,funnel,0,530,397.5
dido_funnel_1_angled_boats_vbig,funnel,0,480,360
dido_funnel_1_angled_boats_big,funnel,0,440,330
dido_funnel_1_angled_boats,funnel,0,400,300
dido_funnel_1_angled_vbig2,funnel,0,325,243.75
dido_funnel_1_angled_vbig,funnel,0,270,202.5
dido_funnel_1_angled_big,funnel,0,230,172.5
dido_funnel_1_angled,funnel,0,200,150
dido_funnel_1_boats2_big_wide2,funnel,0,550,412.5
dido_funnel_1_boats2_big_wide,funnel,0,500,375
dido_funnel_1_boats2_wide,funnel,0,455,341.25
dido_funnel_1_boats2_big,funnel,0,435,326.25
dido_funnel_1_boats2,funnel,0,395,296.25
dido_funnel_1_boats,funnel,0,325,243.75
dido_funnel_1_boats_small,funnel,0,305,228.75
dido_funnel_1_big,funnel,0,195,146.25
dido_funnel_1,funnel,0,175,131.25
dido_funnel_1_small,funnel,0,155,116.25
dido_funnel_1_tall_complex,funnel,0,175,131.25
dido_funnel_1_tall,funnel,0,135,101.25
dido_funnel_1_angled_aux2,funnel,0,150,112.5
dido_funnel_1_angled_aux,funnel,0,120,90
dido_funnel_1_tall_complex_small,funnel,0,125,93.75
dido_funnel_1_tall_small,funnel,0,109,81.75
dido_funnel_1_tall_smallest,funnel,0,95,71.25
deRuyter_funnel_type_c_big,funnel,0,500,375
deRuyter_funnel_type_c,funnel,0,420,315
deRuyter_funnel_type_b_big,funnel,0,360,270
deRuyter_funnel_type_b,funnel,0,300,225
deRuyter_funnel_type_a_big,funnel,0,250,187.5
deRuyter_funnel_type_a,funnel,0,200,150
brooklyn_funnel_1_angled_dual_b_2,funnel,0,605,453.75
brooklyn_funnel_1_angled_dual_2,funnel,0,565,423.75
brooklyn_funnel_1_angled_dual_b,funnel,0,510,382.5
brooklyn_funnel_1_angled_dual,funnel,0,450,337.5
brooklyn_funnel_1_angled_b_2,funnel,0,350,262.5
brooklyn_funnel_1_angled_2,funnel,0,300,225
brooklyn_funnel_1_angled_b,funnel,0,250,187.5
brooklyn_funnel_1_angled,funnel,0,210,157.5
brooklyn_funnel_1_angled_small_2,funnel,0,190,142.5
brooklyn_funnel_1_angled_small,funnel,0,170,127.5
brooklyn_funnel_1_angled_vsmall_2,funnel,0,160,120
brooklyn_funnel_1_angled_vsmall,funnel,0,140,105
heavy_ca_funnel_2_small,funnel,0,256,192
heavy_ca_funnel_1,funnel,0,198.4,148.8
heavy_ca_funnel_1_small,funnel,0,176,132
mogami_funnel_2_large2,funnel,0,451.2,338.4
mogami_funnel_2_large,funnel,0,416,312
mogami_funnel_2,funnel,0,371.2,278.4
mogami_funnel_2_small,funnel,0,291.84,218.88
mogami_funnel_1_large,funnel,0,249.6,187.2
mogami_funnel_1,funnel,0,224,168
mogami_funnel_1_small,funnel,0,172.8,129.6
late_ca_funnel_3,funnel,0,288,216
late_ca_funnel_3_small,funnel,0,262.4,196.8
late_ca_funnel_2,funnel,0,224,168
late_ca_funnel_2_small,funnel,0,198.4,148.8
late_ca_funnel_1,funnel,0,160,120
late_ca_funnel_1_small,funnel,0,140.8,105.6
agamemnon_funnel_4_normal_xbig,funnel,0,352,264
agamemnon_funnel_4_normal_big,funnel,0,320,240
agamemnon_funnel_4_normal,funnel,0,304,228
agamemnon_funnel_4,funnel,0,288,216
agamemnon_funnel_3,funnel,0,236.8,177.6
agamemnon_funnel_2,funnel,0,192,144
agamemnon_funnel_1,funnel,0,140.8,105.6
pre-dreadnought_funnel_8_usa_big,funnel,0,512,384
pre-dreadnought_funnel_8_usa,funnel,0,448,336
pre-dreadnought_funnel_7_usa,funnel,0,364.8,273.6
pre-dreadnought_funnel_6_usa,funnel,0,313.6,235.2
pre-dreadnought_funnel_5_usa,funnel,0,236.8,177.6
pre-dreadnought_funnel_4_usa,funnel,0,198.4,148.8
pre-dreadnought_funnel_3_usa,funnel,0,160,120
pre-dreadnought_funnel_2_usa,funnel,0,147.2,110.4
pre-dreadnought_funnel_1_usa,funnel,0,134.4,100.8
pre-dreadnought_funnel_8_large,funnel,0,499.2,374.4
pre-dreadnought_funnel_8,funnel,0,435.2,326.4
pre-dreadnought_funnel_7,funnel,0,352,264
pre-dreadnought_funnel_6,funnel,0,288,216
pre-dreadnought_funnel_6_small,funnel,0,249.6,187.2
pre-dreadnought_funnel_5,funnel,0,230.4,172.8
pre-dreadnought_funnel_4,funnel,0,185.6,139.2
pre-dreadnought_funnel_3,funnel,0,153.6,115.2
pre-dreadnought_funnel_2,funnel,0,140.8,105.6
pre-dreadnought_funnel_1,funnel,0,128,96
maine_funnel_6_large,funnel,0,89,66.75
maine_funnel_5_large,funnel,0,77,57.75
maine_funnel_4_large,funnel,0,67,50.25
maine_funnel_3_large,funnel,0,58,43.5
maine_funnel_2_large,funnel,0,50,37.5
maine_funnel_1_large,funnel,0,45,33.75
maine_funnel_6,funnel,0,80,60
maine_funnel_5,funnel,0,75,56.25
maine_funnel_4,funnel,0,65,48.75
inflex_funnel_3,funnel,0,43,32.25
inflex_funnel_2,funnel,0,39,29.25
inflex_funnel_1,funnel,0,35,26.25
maine_funnel_3,funnel,0,40,30
maine_funnel_2,funnel,0,35,26.25
maine_funnel_1,funnel,0,30,22.5
maine_funnel_6_small,funnel,0,30,22.5
maine_funnel_5_small,funnel,0,25,18.75
maine_funnel_4_small,funnel,0,20,15
maine_funnel_3_small,funnel,0,19,14.25
maine_funnel_2_small,funnel,0,15,11.25
maine_funnel_1_small,funnel,0,12,9
bouvet_funnel_1_big_tall2,funnel,0,118.4,88.8
bouvet_funnel_1_big_tall,funnel,0,112,84
bouvet_funnel_1_tall,funnel,0,105.6,79.2
bouvet_funnel_1_small_tall,funnel,0,99.2,74.4
bouvet_funnel_1_big_tall2_cruiser,funnel,0,105.6,79.2
bouvet_funnel_1_big_tall_cruiser,funnel,0,99.2,74.4
bouvet_funnel_1_tall_cruiser,funnel,0,92.8,69.6
bouvet_funnel_1_small_tall_cruiser,funnel,0,86.4,64.8
friedrich_funnel_10,funnel,0,313.6,235.2
friedrich_funnel_9,funnel,0,281.6,211.2
friedrich_funnel_8,funnel,0,256,192
friedrich_funnel_7,funnel,0,240,180
friedrich_funnel_6,funnel,0,233.6,175.2
friedrich_funnel_5,funnel,0,208,156
friedrich_funnel_4,funnel,0,195.2,146.4
friedrich_funnel_3,funnel,0,179.2,134.4
friedrich_funnel_2,funnel,0,147.2,110.4
armoured_cruiser_funnel_10_xbig_dual,funnel,0,377.6,283.2
armoured_cruiser_funnel_10_vbig_dual,funnel,0,332.8,249.6
armoured_cruiser_funnel_10_vbig_dual_var,funnel,0,307.2,230.4
armoured_cruiser_funnel_10_vbig_dual_var2,funnel,0,281.6,211.2
armoured_cruiser_funnel_10_big_dual,funnel,0,249.6,187.2
armoured_cruiser_funnel_9_dual,funnel,0,176,132
armoured_cruiser_funnel_10_vbig,funnel,0,172.8,129.6
armoured_cruiser_funnel_10_big,funnel,0,156.8,117.6
armoured_cruiser_funnel_10,funnel,0,140.8,105.6
armoured_cruiser_funnel_9_big,funnel,0,115.2,86.4
armoured_cruiser_funnel_9,funnel,0,96,72
brandenburg_funnel_4,funnel,0,140.8,105.6
massena_funnel_2,funnel,0,134.4,100.8
brandenburg_funnel_3,funnel,0,128,96
massena_funnel_1,funnel,0,118.4,88.8
brandenburg_funnel_2,funnel,0,115.2,86.4
brandenburg_funnel_1,funnel,0,102.4,76.8
danton_funnel_5,funnel,0,400,300
danton_funnel_4,funnel,0,284,213
danton_funnel_3_big,funnel,0,108,81
danton_funnel_2_big,funnel,0,100,75
danton_funnel_3,funnel,0,92,69
danton_funnel_2,funnel,0,80,60
bouvet_funnel_1_big_enh6,funnel,0,300,225
bouvet_funnel_1_big_enh5,funnel,0,255,191.25
bouvet_funnel_1_big_enh4,funnel,0,217,162.75
bouvet_funnel_1_big_enh3,funnel,0,135,101.25
bouvet_funnel_1_big_enh2,funnel,0,125,93.75
bouvet_funnel_1_big_enh1,funnel,0,117,87.75
bouvet_funnel_1_big,funnel,0,105.6,79.2
bouvet_funnel_1,funnel,0,99.2,74.4
bouvet_funnel_1_small,funnel,0,92.8,69.6
danton_funnel_1_big,funnel,0,68,51
danton_funnel_1,funnel,0,60,45
friedrich_funnel_biground6,funnel,0,380,285
friedrich_funnel_biground5,funnel,0,330,247.5
friedrich_funnel_biground4,funnel,0,300,225
friedrich_funnel_biground7_small,funnel,0,390,292.5
friedrich_funnel_biground6_small,funnel,0,330,247.5
friedrich_funnel_biground5_small,funnel,0,300,225
friedrich_funnel_biground4_small,funnel,0,275,206.25
friedrich_funnel_biground2_dual,funnel,0,335,251.25
friedrich_funnel_biground1_dual,funnel,0,295,221.25
friedrich_funnel_biground3,funnel,0,176,132
friedrich_funnel_biground2,funnel,0,156.8,117.6
friedrich_funnel_biground1,funnel,0,137.6,103.2
